symptom_bn,symptom_en,specialty,urgency
বুক ব্যথা,Chest Pain,Cardiology,emergency
বুক চাপ অনুভব,Chest Tightness,Cardiology,emergency
হৃদস্পন্দন বেড়ে যাওয়া,Heart Palpitations,Cardiology,urgent
অনিয়মিত হার্টবিট,Irregular Heartbeat,Cardiology,urgent
শ্বাস নিতে কষ্ট,Shortness of Breath,Pulmonology,emergency
হাত অবশ হয়ে যাওয়া,Arm Numbness,Neurology,urgent
হঠাৎ অজ্ঞান হয়ে যাওয়া,Fainting,Cardiology,emergency
ঠান্ডা ঘাম হওয়া,Cold Sweating,Cardiology,emergency
মাথা ঘোরা,Dizziness,Neurology,urgent
ভারসাম্য হারানো,Loss of Balance,Neurology,urgent
তীব্র মাথা ব্যথা,Severe Headache,Neurology,urgent
মাইগ্রেন,Migraine,Neurology,mild
খিঁচুনি,Seizures,Neurology,emergency
স্মৃতিভ্রংশ,Memory Loss,Neurology,urgent
কথা বলতে সমস্যা,Difficulty Speaking,Neurology,emergency
চোখে ঝাপসা দেখা,Blurred Vision,Ophthalmology,urgent
চোখ লাল হওয়া,Red Eyes,Ophthalmology,mild
চোখ ব্যথা,Eye Pain,Ophthalmology,urgent
চোখে পানি পড়া,Watery Eyes,Ophthalmology,mild
চোখে চুলকানি,Eye Itching,Ophthalmology,mild
কাশি,Cough,Pulmonology,mild
দীর্ঘদিন কাশি,Chronic Cough,Pulmonology,urgent
শুকনা কাশি,Dry Cough,Pulmonology,mild
কফ সহ কাশি,Wet Cough,Pulmonology,mild
রক্ত সহ কাশি,Coughing Blood,Pulmonology,emergency
নাক দিয়ে পানি পড়া,Runny Nose,ENT,mild
নাক বন্ধ,Nasal Congestion,ENT,mild
গলা ব্যথা,Sore Throat,ENT,mild
গলা বসে যাওয়া,Hoarse Voice,ENT,mild
ঘন ঘন হাঁচি,Frequent Sneezing,ENT,mild
পেটে ব্যথা,Abdominal Pain,Gastroenterology,urgent
উপরের পেটে ব্যথা,Upper Abdominal Pain,Gastroenterology,urgent
নিচের পেটে ব্যথা,Lower Abdominal Pain,Gastroenterology,urgent
বমি ভাব,Nausea,Gastroenterology,mild
বমি,Vomiting,Gastroenterology,urgent
অ্যাসিডিটি,Acid Reflux,Gastroenterology,mild
বুক জ্বালা,Heartburn,Gastroenterology,mild
গ্যাস সমস্যা,Gas,Gastroenterology,mild
পেট ফাঁপা,Bloating,Gastroenterology,mild
কোষ্ঠকাঠিন্য,Constipation,Gastroenterology,mild
ডায়রিয়া,Diarrhea,Gastroenterology,urgent
মলে রক্ত,Blood in Stool,Gastroenterology,emergency
ক্ষুধামন্দা,Loss of Appetite,Gastroenterology,mild
ওজন কমে যাওয়া,Weight Loss,Gastroenterology,urgent
জন্ডিস,Yellowing Skin,Gastroenterology,urgent
হাঁটু ব্যথা,Knee Pain,Orthopedics,mild
পিঠে ব্যথা,Back Pain,Orthopedics,mild
ঘাড় ব্যথা,Neck Pain,Orthopedics,mild
জয়েন্ট ফুলে যাওয়া,Joint Swelling,Orthopedics,urgent
হাড়ে ব্যথা,Bone Pain,Orthopedics,mild
হাঁটতে কষ্ট,Difficulty Walking,Orthopedics,urgent
মাংসপেশি ব্যথা,Muscle Pain,Orthopedics,mild
মাংসপেশি শক্ত হয়ে যাওয়া,Muscle Stiffness,Orthopedics,mild
ত্বকে ফুসকুড়ি,Skin Rash,Dermatology,mild
চুলকানি,Itching,Dermatology,mild
ব্রণ,Acne,Dermatology,mild
চুল পড়া,Hair Loss,Dermatology,mild
ত্বক লাল হওয়া,Skin Redness,Dermatology,mild
ত্বক জ্বালা,Skin Burning,Dermatology,urgent
সাদা দাগ,White Patches,Dermatology,urgent
শিশুর জ্বর,Child Fever,Pediatrics,urgent
শিশুর কাশি,Child Cough,Pediatrics,mild
শিশুর ডায়রিয়া,Child Diarrhea,Pediatrics,urgent
শিশুর খিঁচুনি,Child Seizure,Pediatrics,emergency
শিশুর শ্বাসকষ্ট,Child Breathing Difficulty,Pediatrics,emergency
মাসিক অনিয়মিত,Irregular Periods,Gynecology,urgent
অতিরিক্ত রক্তপাত,Heavy Bleeding,Gynecology,urgent
তলপেটে ব্যথা,Pelvic Pain,Gynecology,urgent
যোনি চুলকানি,Vaginal Itching,Gynecology,mild
গর্ভাবস্থায় বমি,Pregnancy Nausea,Gynecology,mild
দাঁত ব্যথা,Tooth Pain,Dentistry,urgent
দাঁতের সংবেদনশীলতা,Tooth Sensitivity,Dentistry,mild
মাড়ি থেকে রক্ত,Bleeding Gums,Dentistry,urgent
মুখে ঘা,Mouth Ulcer,Dentistry,mild
মুখে দুর্গন্ধ,Bad Breath,Dentistry,mild
বুক ব্যথা,Chest Pain,Cardiology,emergency
বুক চাপ অনুভব,Chest Tightness,Cardiology,emergency
হৃদস্পন্দন বেড়ে যাওয়া,Heart Palpitations,Cardiology,urgent
অনিয়মিত হার্টবিট,Irregular Heartbeat,Cardiology,urgent
শ্বাস নিতে কষ্ট,Shortness of Breath,Pulmonology,emergency
হঠাৎ অজ্ঞান হয়ে যাওয়া,Fainting,Cardiology,emergency
ঠান্ডা ঘাম হওয়া,Cold Sweating,Cardiology,emergency
মাথা ঘোরা,Dizziness,Neurology,urgent
ভারসাম্য হারানো,Loss of Balance,Neurology,urgent
তীব্র মাথা ব্যথা,Severe Headache,Neurology,urgent
মাইগ্রেন,Migraine,Neurology,mild
খিঁচুনি,Seizures,Neurology,emergency
স্মৃতিভ্রংশ,Memory Loss,Neurology,urgent
কথা বলতে সমস্যা,Difficulty Speaking,Neurology,emergency
চোখে ঝাপসা দেখা,Blurred Vision,Ophthalmology,urgent
চোখ লাল হওয়া,Red Eyes,Ophthalmology,mild
চোখ ব্যথা,Eye Pain,Ophthalmology,urgent
চোখে পানি পড়া,Watery Eyes,Ophthalmology,mild
চোখে চুলকানি,Eye Itching,Ophthalmology,mild
কাশি,Cough,Pulmonology,mild
দীর্ঘদিন কাশি,Chronic Cough,Pulmonology,urgent
শুকনা কাশি,Dry Cough,Pulmonology,mild
কফ সহ কাশি,Wet Cough,Pulmonology,mild
রক্ত সহ কাশি,Coughing Blood,Pulmonology,emergency
নাক দিয়ে পানি পড়া,Runny Nose,ENT,mild
নাক বন্ধ,Nasal Congestion,ENT,mild
গলা ব্যথা,Sore Throat,ENT,mild
গলা বসে যাওয়া,Hoarse Voice,ENT,mild
ঘন ঘন হাঁচি,Frequent Sneezing,ENT,mild
পেটে ব্যথা,Abdominal Pain,Gastroenterology,urgent
উপরের পেটে ব্যথা,Upper Abdominal Pain,Gastroenterology,urgent
নিচের পেটে ব্যথা,Lower Abdominal Pain,Gastroenterology,urgent
বমি ভাব,Nausea,Gastroenterology,mild
বমি,Vomiting,Gastroenterology,urgent
অ্যাসিডিটি,Acid Reflux,Gastroenterology,mild
বুক জ্বালা,Heartburn,Gastroenterology,mild
গ্যাস সমস্যা,Gas,Gastroenterology,mild
পেট ফাঁপা,Bloating,Gastroenterology,mild
কোষ্ঠকাঠিন্য,Constipation,Gastroenterology,mild
ডায়রিয়া,Diarrhea,Gastroenterology,urgent
মলে রক্ত,Blood in Stool,Gastroenterology,emergency
ক্ষুধামন্দা,Loss of Appetite,Gastroenterology,mild
ওজন কমে যাওয়া,Weight Loss,Gastroenterology,urgent
জন্ডিস,Yellowing Skin,Gastroenterology,urgent
হাঁটু ব্যথা,Knee Pain,Orthopedics,mild
পিঠে ব্যথা,Back Pain,Orthopedics,mild
ঘাড় ব্যথা,Neck Pain,Orthopedics,mild
জয়েন্ট ফুলে যাওয়া,Joint Swelling,Orthopedics,urgent
হাড়ে ব্যথা,Bone Pain,Orthopedics,mild
হাঁটতে কষ্ট,Difficulty Walking,Orthopedics,urgent
মাংসপেশি ব্যথা,Muscle Pain,Orthopedics,mild
মাংসপেশি শক্ত হয়ে যাওয়া,Muscle Stiffness,Orthopedics,mild
ত্বকে ফুসকুড়ি,Skin Rash,Dermatology,mild
চুলকানি,Itching,Dermatology,mild
ব্রণ,Acne,Dermatology,mild
চুল পড়া,Hair Loss,Dermatology,mild
ত্বক লাল হওয়া,Skin Redness,Dermatology,mild
ত্বক জ্বালা,Skin Burning,Dermatology,urgent
সাদা দাগ,White Patches,Dermatology,urgent
শিশুর জ্বর,Child Fever,Pediatrics,urgent
শিশুর কাশি,Child Cough,Pediatrics,mild
শিশুর ডায়রিয়া,Child Diarrhea,Pediatrics,urgent
শিশুর খিঁচুনি,Child Seizure,Pediatrics,emergency
শিশুর শ্বাসকষ্ট,Child Breathing Difficulty,Pediatrics,emergency
মাসিক অনিয়মিত,Irregular Periods,Gynecology,urgent
অতিরিক্ত রক্তপাত,Heavy Bleeding,Gynecology,urgent
তলপেটে ব্যথা,Pelvic Pain,Gynecology,urgent
যোনি চুলকানি,Vaginal Itching,Gynecology,mild
গর্ভাবস্থায় বমি,Pregnancy Nausea,Gynecology,mild
দাঁত ব্যথা,Tooth Pain,Dentistry,urgent
দাঁতের সংবেদনশীলতা,Tooth Sensitivity,Dentistry,mild
মাড়ি থেকে রক্ত,Bleeding Gums,Dentistry,urgent
মুখে ঘা,Mouth Ulcer,Dentistry,mild
মুখে দুর্গন্ধ,Bad Breath,Dentistry,mild
জ্বর,Fever,General Medicine,urgent
উচ্চ জ্বর,High Fever,General Medicine,urgent
শরীর ব্যথা,Body Ache,General Medicine,mild
অত্যধিক ক্লান্তি,Fatigue,General Medicine,mild
ঠান্ডা লাগা,Chills,General Medicine,mild
ঘাম বেশি হওয়া,Excessive Sweating,General Medicine,mild
খাবার হজম না হওয়া,Indigestion,Gastroenterology,mild
ঢেকুর,Burping,Gastroenterology,mild
গলায় কিছু আটকে থাকা অনুভূতি,Globus Sensation,ENT,mild
কানে ব্যথা,Ear Pain,ENT,urgent
কানে শব্দ শোনা,Tinnitus,ENT,mild
কানে কম শোনা,Hearing Loss,ENT,urgent
কানে পানি পড়া,Ear Discharge,ENT,urgent
সাইনাস ব্যথা,Sinus Pain,ENT,mild
মুখ ফুলে যাওয়া,Facial Swelling,Dermatology,urgent
ঠোঁট ফুলে যাওয়া,Lip Swelling,Allergy,urgent
হাত ফুলে যাওয়া,Hand Swelling,General Medicine,urgent
পা ফুলে যাওয়া,Leg Swelling,Cardiology,urgent
মাথা ঝিমঝিম করা,Lightheadedness,Neurology,mild
ঘুম না হওয়া,Insomnia,Neurology,mild
অতিরিক্ত ঘুম,Sleepiness,Neurology,mild
স্বপ্ন বেশি দেখা,Vivid Dreams,Neurology,mild
হাত কাঁপা,Tremor,Neurology,urgent
পা অবশ,Numb Legs,Neurology,urgent
হাত অবশ,Numb Arms,Neurology,urgent
মুখ বেঁকে যাওয়া,Facial Droop,Neurology,emergency
এক পাশ অবশ হওয়া,One-sided Weakness,Neurology,emergency
হাঁপানি,Athma Attack,Pulmonology,emergency
বুকে সাঁই সাঁই শব্দ,Wheezing,Pulmonology,urgent
শ্বাসে বাঁশির শব্দ,Whistling Breath,Pulmonology,urgent
শ্বাস নিতে ব্যথা,Painful Breathing,Pulmonology,urgent
বুকে কফ জমা,Chest Congestion,Pulmonology,mild
হালকা জ্বর,Low Fever,General Medicine,mild
ঠান্ডা লেগেছে,Common Cold,General Medicine,mild
গলা শুকিয়ে যাওয়া,Dry Throat,ENT,mild
খেতে কষ্ট,Difficulty Swallowing,ENT,urgent
গলায় ব্যথা,Throat Pain,ENT,mild
জিহ্বা ব্যথা,Tongue Pain,Dentistry,mild
